統計年,按照別,區域別代碼,區域別,生父年齡,嬰兒出生數
113,按發生日期分,65000010,新北市板橋區,未滿20歲,2
113,按發生日期分,65000010,新北市板橋區,20～24歲,52
113,按發生日期分,65000010,新北市板橋區,25～29歲,235
113,按發生日期分,65000010,新北市板橋區,30～34歲,656
113,按發生日期分,65000010,新北市板橋區,35～39歲,692
113,按發生日期分,65000010,新北市板橋區,40～44歲,424
113,按發生日期分,65000010,新北市板橋區,45～49歲,96
113,按發生日期分,65000010,新北市板橋區,50～54歲,19
113,按發生日期分,65000010,新北市板橋區,55～59歲,3
113,按發生日期分,65000010,新北市板橋區,60歲以上,4
113,按發生日期分,65000020,新北市三重區,未滿20歲,4
113,按發生日期分,65000020,新北市三重區,20～24歲,39
113,按發生日期分,65000020,新北市三重區,25～29歲,216
113,按發生日期分,65000020,新北市三重區,30～34歲,454
113,按發生日期分,65000020,新北市三重區,35～39歲,431
113,按發生日期分,65000020,新北市三重區,40～44歲,227
113,按發生日期分,65000020,新北市三重區,45～49歲,61
113,按發生日期分,65000020,新北市三重區,50～54歲,13
113,按發生日期分,65000020,新北市三重區,55～59歲,2
113,按發生日期分,65000020,新北市三重區,60歲以上,2
113,按發生日期分,65000030,新北市中和區,未滿20歲,1
113,按發生日期分,65000030,新北市中和區,20～24歲,26
113,按發生日期分,65000030,新北市中和區,25～29歲,171
113,按發生日期分,65000030,新北市中和區,30～34歲,444
113,按發生日期分,65000030,新北市中和區,35～39歲,425
113,按發生日期分,65000030,新北市中和區,40～44歲,261
113,按發生日期分,65000030,新北市中和區,45～49歲,79
113,按發生日期分,65000030,新北市中和區,50～54歲,18
113,按發生日期分,65000030,新北市中和區,55～59歲,6
113,按發生日期分,65000030,新北市中和區,60歲以上,3
113,按發生日期分,65000040,新北市永和區,未滿20歲,1
113,按發生日期分,65000040,新北市永和區,20～24歲,6
113,按發生日期分,65000040,新北市永和區,25～29歲,47
113,按發生日期分,65000040,新北市永和區,30～34歲,185
113,按發生日期分,65000040,新北市永和區,35～39歲,226
113,按發生日期分,65000040,新北市永和區,40～44歲,93
113,按發生日期分,65000040,新北市永和區,45～49歲,33
113,按發生日期分,65000040,新北市永和區,50～54歲,12
113,按發生日期分,65000040,新北市永和區,55～59歲,0
113,按發生日期分,65000040,新北市永和區,60歲以上,2
113,按發生日期分,65000050,新北市新莊區,未滿20歲,4
113,按發生日期分,65000050,新北市新莊區,20～24歲,46
113,按發生日期分,65000050,新北市新莊區,25～29歲,255
113,按發生日期分,65000050,新北市新莊區,30～34歲,627
113,按發生日期分,65000050,新北市新莊區,35～39歲,606
113,按發生日期分,65000050,新北市新莊區,40～44歲,305
113,按發生日期分,65000050,新北市新莊區,45～49歲,87
113,按發生日期分,65000050,新北市新莊區,50～54歲,15
113,按發生日期分,65000050,新北市新莊區,55～59歲,2
113,按發生日期分,65000050,新北市新莊區,60歲以上,3
113,按發生日期分,65000060,新北市新店區,未滿20歲,0
113,按發生日期分,65000060,新北市新店區,20～24歲,30
113,按發生日期分,65000060,新北市新店區,25～29歲,123
113,按發生日期分,65000060,新北市新店區,30～34歲,307
113,按發生日期分,65000060,新北市新店區,35～39歲,295
113,按發生日期分,65000060,新北市新店區,40～44歲,163
113,按發生日期分,65000060,新北市新店區,45～49歲,59
113,按發生日期分,65000060,新北市新店區,50～54歲,14
113,按發生日期分,65000060,新北市新店區,55～59歲,8
113,按發生日期分,65000060,新北市新店區,60歲以上,3
113,按發生日期分,65000070,新北市樹林區,未滿20歲,2
113,按發生日期分,65000070,新北市樹林區,20～24歲,27
113,按發生日期分,65000070,新北市樹林區,25～29歲,155
113,按發生日期分,65000070,新北市樹林區,30～34歲,267
113,按發生日期分,65000070,新北市樹林區,35～39歲,241
113,按發生日期分,65000070,新北市樹林區,40～44歲,137
