統計年度,按照別,區域別,生母年齡,出生者性別,嬰兒出生數
113,按登記日期分,新北市板橋區,未滿15歲,男,0
113,按登記日期分,新北市板橋區,15歲,男,0
113,按登記日期分,新北市板橋區,16歲,男,0
113,按登記日期分,新北市板橋區,17歲,男,1
113,按登記日期分,新北市板橋區,18歲,男,2
113,按登記日期分,新北市板橋區,19歲,男,5
113,按登記日期分,新北市板橋區,20歲,男,3
113,按登記日期分,新北市板橋區,21歲,男,3
113,按登記日期分,新北市板橋區,22歲,男,8
113,按登記日期分,新北市板橋區,23歲,男,18
113,按登記日期分,新北市板橋區,24歲,男,18
113,按登記日期分,新北市板橋區,25歲,男,21
113,按登記日期分,新北市板橋區,26歲,男,24
113,按登記日期分,新北市板橋區,27歲,男,37
113,按登記日期分,新北市板橋區,28歲,男,41
113,按登記日期分,新北市板橋區,29歲,男,60
113,按登記日期分,新北市板橋區,30歲,男,63
113,按登記日期分,新北市板橋區,31歲,男,79
113,按登記日期分,新北市板橋區,32歲,男,87
113,按登記日期分,新北市板橋區,33歲,男,92
113,按登記日期分,新北市板橋區,34歲,男,65
113,按登記日期分,新北市板橋區,35歲,男,100
113,按登記日期分,新北市板橋區,36歲,男,76
113,按登記日期分,新北市板橋區,37歲,男,79
113,按登記日期分,新北市板橋區,38歲,男,58
113,按登記日期分,新北市板橋區,39歲,男,52
113,按登記日期分,新北市板橋區,40歲,男,35
113,按登記日期分,新北市板橋區,41歲,男,26
113,按登記日期分,新北市板橋區,42歲,男,24
113,按登記日期分,新北市板橋區,43歲,男,17
113,按登記日期分,新北市板橋區,44歲,男,2
113,按登記日期分,新北市板橋區,45歲,男,4
113,按登記日期分,新北市板橋區,46歲,男,2
113,按登記日期分,新北市板橋區,47歲,男,4
113,按登記日期分,新北市板橋區,48歲,男,0
113,按登記日期分,新北市板橋區,49歲,男,1
113,按登記日期分,新北市板橋區,50歲以上,男,0
113,按登記日期分,新北市板橋區,未滿15歲,女,0
113,按登記日期分,新北市板橋區,15歲,女,0
113,按登記日期分,新北市板橋區,16歲,女,0
113,按登記日期分,新北市板橋區,17歲,女,1
113,按登記日期分,新北市板橋區,18歲,女,1
113,按登記日期分,新北市板橋區,19歲,女,3
113,按登記日期分,新北市板橋區,20歲,女,7
113,按登記日期分,新北市板橋區,21歲,女,4
113,按登記日期分,新北市板橋區,22歲,女,10
113,按登記日期分,新北市板橋區,23歲,女,19
113,按登記日期分,新北市板橋區,24歲,女,22
113,按登記日期分,新北市板橋區,25歲,女,21
113,按登記日期分,新北市板橋區,26歲,女,24
113,按登記日期分,新北市板橋區,27歲,女,37
113,按登記日期分,新北市板橋區,28歲,女,55
113,按登記日期分,新北市板橋區,29歲,女,54
113,按登記日期分,新北市板橋區,30歲,女,64
113,按登記日期分,新北市板橋區,31歲,女,79
113,按登記日期分,新北市板橋區,32歲,女,74
113,按登記日期分,新北市板橋區,33歲,女,74
113,按登記日期分,新北市板橋區,34歲,女,90
113,按登記日期分,新北市板橋區,35歲,女,83
113,按登記日期分,新北市板橋區,36歲,女,85
113,按登記日期分,新北市板橋區,37歲,女,55   
113,按登記日期分,新北市板橋區,38歲,女,61    
113,按登記日期分,新北市板橋區,39歲,女,46
113,按登記日期分,新北市板橋區,40歲,女,39
113,按登記日期分,新北市板橋區,41歲,女,34
113,按登記日期分,新北市板橋區,42歲,女,20
